answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
0,6418.38,11,pinguin1.bmp,1,[0.40555556 0.04222222],[0.16666667 0.        ],0.24259146168806237,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4636.41,12,reifen1.bmp,1,[-0.76481481 -0.29777778],[-0.83333333  0.4       ],0.7011338064452937,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1571.42,4,elefant1.bmp,1,[-0.20185185 -0.75777778],[-0.16666667 -0.8       ],0.05496101623786171,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1830.37,0,apfel1.bmp,1,[ 0.80185185 -0.40444444],[ 0.16666667 -0.4       ],0.6352007340716459,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2399.84,8,kerze1.bmp,1,[-0.45925926 -0.37555556],[-0.5 -0.4],0.047511459883924696,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1513.69,6,hammer1.bmp,1,[-0.7962963 -0.8      ],[-0.83333333 -0.8       ],0.03703703703703709,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1635.63,5,fisch1.bmp,1,[ 0.49444444 -0.47111111],[ 0.5 -0.4],0.07132779486979567,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1412.04,14,schlaeger1.bmp,1,[ 0.72962963 -0.72      ],[ 0.83333333 -0.8       ],0.13097502877215025,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,7880.55,9,klammer1.bmp,1,[ 0.07407407 -0.09555556],[0.5 0. ],0.43651318258832494,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1975.35,1,auto1.bmp,1,[0.83148148 0.39555556],[0.83333333 0.4       ],0.004814814814814956,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1727.22,7,hund1.bmp,1,[-0.07222222  0.40444444],[-0.16666667  0.4       ],0.09454896177557688,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,5711.44,13,schale1.bmp,1,[ 0.20925926 -0.69333333],[ 0.16666667 -0.8       ],0.11485602605669569,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1865.8,3,eis1.bmp,1,[ 0.17222222 -0.11333333],[0.83333333 0.        ],0.6707550563946667,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1992.03,2,blume1.bmp,1,[-0.52407407 -0.40666667],[-0.83333333 -0.4       ],0.30933110720073115,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1646.92,10,pferd1.bmp,1,[-0.11481481  0.07111111],[-0.16666667  0.        ],0.08800798068313566,5GCA,1.00,00.00,female,English,evening,set-1,1,adults,ignore,andrea,20260508,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
