answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
1,2011.74,2,blume1.bmp,1,[-0.74814815 -0.35111111],[-0.83333333 -0.4       ],0.09821730617271292,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1769.92,13,schale1.bmp,1,[ 0.11296296 -0.73111111],[ 0.16666667 -0.8       ],0.0873485363577483,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1695.51,8,kerze1.bmp,1,[-0.50555556 -0.43333333],[-0.5 -0.4],0.03379312516832343,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,4483.82,1,auto1.bmp,1,[0.73703704 0.45555556],[0.83333333 0.4       ],0.11117282236891576,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3401.84,0,apfel1.bmp,1,[-0.11481481 -0.45555556],[ 0.16666667 -0.4       ],0.286911561583175,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1808.07,10,pferd1.bmp,1,[-0.21666667 -0.07111111],[-0.16666667  0.        ],0.08692979997363846,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1874.39,3,eis1.bmp,1,[ 0.45       -0.04666667],[0.83333333 0.        ],0.38616346567512344,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,8019.72,12,reifen1.bmp,1,[-0.78333333 -0.16444444],[-0.83333333  0.4       ],0.566654683969168,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2072.64,14,schlaeger1.bmp,1,[ 0.7462963  -0.75111111],[ 0.83333333 -0.8       ],0.09982769792485795,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3059.0,9,klammer1.bmp,1,[-0.17962963  0.72222222],[0.5 0. ],0.991716376663264,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3375.53,6,hammer1.bmp,1,[-0.86851852 -0.82666667],[-0.83333333 -0.8       ],0.044148707428721824,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1254.18,7,hund1.bmp,1,[-0.16666667  0.47111111],[-0.16666667  0.4       ],0.07111111111111096,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,5166.58,11,pinguin1.bmp,1,[0.17222222 0.01555556],[0.16666667 0.        ],0.01651785416368724,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3039.74,5,fisch1.bmp,1,[ 0.36111111 -0.46888889],[ 0.5 -0.4],0.15503484275844523,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,5476.61,4,elefant1.bmp,1,[ 0.15185185 -0.80444444],[-0.16666667 -0.8       ],0.3185495247613023,BME306,7.00,00.00,female,German,evening,set-1,1,adults,ignore,andrea,20260513,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
