percent_correct,time_for_answer_correct,participant,timepoint,file
0.6,2177.061111,1,1,OLT_BME306_1.00_1_20260508.csv
0.6,3555.431111,1,2,OLT_BME306_1.00_2_20260508.csv
0.533333333,2668.875,2,1,OLT_BME306_2.00_1_20260508.csv
0.733333333,3102.364545,2,2,OLT_BME306_2.00_2_20260508.csv
0.333333333,2776.964,3,1,OLT_BME306_3.00_1_20260508.csv
0.666666667,2596.635,3,2,OLT_BME306_3.00_2_20260508.csv
0.733333333,2712.7,4,1,OLT_BME306_4.00_1_20260512.csv
0.533333333,2274.935,4,2,OLT_BME306_4.00_2_20260512_2.csv
0.4,2250.695,5,1,OLT_BME306_5.00_1_20260512.csv
0.6,1691.063333,5,2,OLT_BME306_5.00_2_20260512.csv
0.4,3936.106667,6,1,OLT_BME306_6.00_1_20260512.csv
0.666666667,2819.031,6,2,OLT_BME306_6.00_2_20260512.csv
0.666666667,2667.773,7,1,OLT_BME306_7.00_1_20260513_1.csv
0.6,4358.324444,7,2,OLT_BME306_7.00_2_20260513.csv
0.666666667,2367.821,8,1,OLT_BME306_8.00_1_20260513.csv
0.666666667,3034.361,8,2,OLT_BME306_8.00_2_20260513.csv
0.666666667,3999.429,9,1,OLT_BME306_9.00_1_20260513.csv
0.666666667,6395.476,9,2,OLT_BME306_9.00_2_20260513.csv
