answer,time_for_answer,image_id,image_displayed,cued_recall_round,mouse_norm_pos,image_norm_pos,euclidean_dist,ID,participant,age,sex,preferred language,time,set,session,version,netstation,experimenter,date,screen,experiment_window,show_tile_numbers,image_pairs,nrows,ncols,sounds_played,ISI,pausetime_after_img1,pausetime_after_img2,
1,2305.31,7,hund1.bmp,1,[-0.12407407  0.41555556],[-0.16666667  0.4       ],0.04534428577451123,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3597.26,4,elefant1.bmp,1,[ 0.11851852 -0.71555556],[-0.16666667 -0.8       ],0.2974247031546627,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3248.99,8,kerze1.bmp,1,[-0.4        -0.39111111],[-0.5 -0.4],0.1003942844273468,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3260.2,14,schlaeger1.bmp,1,[ 0.14814815 -0.73777778],[ 0.83333333 -0.8       ],0.6880046096760749,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1732.62,1,auto1.bmp,1,[0.84074074 0.46      ],[0.83333333 0.4       ],0.06045551823034272,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,4553.35,6,hammer1.bmp,1,[-0.73518519 -0.47111111],[-0.83333333 -0.8       ],0.3432214448712067,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,3083.12,3,eis1.bmp,1,[0.81851852 0.03777778],[0.83333333 0.        ],0.04057880274015509,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1880.38,13,schale1.bmp,1,[ 0.19259259 -0.85333333],[ 0.16666667 -0.8       ],0.05930091128777909,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2110.45,0,apfel1.bmp,1,[ 0.13518519 -0.37333333],[ 0.16666667 -0.4       ],0.041257663377607445,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,15790.76,11,pinguin1.bmp,1,[-0.84259259 -0.90444444],[0.16666667 0.        ],1.3552210172097274,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,2399.63,12,reifen1.bmp,1,[-0.80925926  0.28444444],[-0.83333333  0.4       ],0.11803663610200489,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,3178.7,2,blume1.bmp,1,[-0.86481481 -0.75777778],[-0.83333333 -0.4       ],0.35916016197216777,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
1,1438.98,10,pferd1.bmp,1,[-0.18703704  0.08666667],[-0.16666667  0.        ],0.08902843983883563,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,1830.88,9,klammer1.bmp,1,[0.18888889 0.00444444],[0.5 0. ],0.31114285552332704,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
0,2908.67,5,fisch1.bmp,1,[0.15       0.36444444],[ 0.5 -0.4],0.8407587695896935,BME306,4.00,00.00,female,German,morning,set-1,2,adults,ignore,andrea,20260512,[1600  900],"[1080.0, 900]",False,15,5,6,False,3,1,2,
